TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID,Cluster
326,230284.156,454682.825,0.69,3.9,0.97,2.5,2.0,3.6,4.7,6.7,1959,4
667,230367.609,454672.761,0.949,4.0,0.078,1.7,2.0,1.8,2.4,3.7,3743,4
247,230227.949,454610.177,1.029,4.0,0.231,0.8,0.8,1.0,0.4,0.5,1452,4
211,230236.493,454628.501,0.948,4.0,0.346,1.7,2.8,1.6,2.2,3.0,1181,4
224,230235.272,454622.183,0.9,4.0,0.834,2.9,3.1,3.2,6.6,15.0,1163,4
259,230240.342,454629.623,0.949,4.1,0.259,1.4,1.6,1.3,1.5,2.3,1264,4
540,230385.139,454676.368,0.732,4.1,0.572,2.5,2.7,2.4,4.9,7.4,3167,4
613,230399.264,454678.5,0.872,4.1,0.726,2.7,3.3,2.7,5.7,11.6,3728,4
278,230258.233,454645.179,0.807,4.1,0.815,2.1,2.3,2.4,3.6,7.7,1430,4
245,230239.856,454624.492,0.855,4.1,0.84,1.6,1.8,1.8,2.1,6.1,1525,4
742,230385.347,454707.307,0.811,4.1,1.195,2.9,3.8,2.5,6.8,9.6,4269,4
577,230379.551,454633.782,1.175,4.2,0.171,2.9,3.6,2.9,6.6,16.5,3429,4
257,230241.769,454630.834,1.116,4.2,0.514,1.6,1.8,1.8,1.9,4.3,1530,4
589,230390.508,454609.765,0.845,4.2,2.134,5.7,6.5,5.8,25.3,41.0,3527,4
289,230279.207,454668.18,0.488,4.3,0.167,2.0,3.1,1.6,3.2,7.9,1434,4
262,230284.765,454678.433,0.93,4.3,0.325,3.1,3.1,3.6,7.6,20.5,1426,4
230,230254.974,454612.519,0.86,4.3,0.429,3.1,4.1,2.6,7.7,14.0,1475,4
155,230251.391,454645.559,0.95,4.3,0.921,1.9,2.7,1.6,2.9,4.9,1124,4
583,230379.002,454632.903,0.842,4.3,1.093,2.5,2.2,3.3,4.7,10.5,3436,4
215,230236.469,454625.723,1.112,4.4,0.449,1.3,1.5,1.5,1.4,2.4,1453,4
177,230254.328,454646.866,0.817,4.4,0.47,1.2,1.2,1.5,1.2,1.7,1067,4
328,230288.135,454683.855,0.766,4.4,0.493,2.2,2.1,2.8,3.9,8.4,1840,4
591,230381.569,454634.566,0.817,4.4,1.713,2.5,3.0,3.5,5.0,10.5,3671,4
4861,231138.903,455265.261,0.56,3.0,0.043,2.9,4.0,2.6,6.4,9.0,24364,5
5807,231169.702,455171.444,0.366,3.0,0.072,1.5,2.1,1.2,1.7,1.9,29130,5
3945,231042.327,455320.11,0.455,3.0,0.154,2.5,5.3,1.6,5.1,7.3,19293,5
